pedology_lab_id,row_num,x,y,lbc,lbc_eq,p_h_2,ca,k,mg,mn,p,zn
240400,1A,-83.7362073,32.43793973,189,506,6.55,661,64.3,74.8,17.5,45.86,6.75
240402,2A,-83.73525054,32.43793646,202,553,5.98,655,76.3,76.6,19.04,80.68,26.25
240404,3A,-83.73429379,32.43793318,242,700,6.21,635,97.7,79.8,24.25,24.61,1.53
240406,4A,-83.73333703,32.43792989,156,384,6.18,623,63.3,55.1,17.86,15.66,1.89
240408,5A,-83.73238028,32.4379266,149,359,5.9,413,63.2,53.1,14.47,31.22,1.28
240410,6A,-83.73142353,32.43792329,196,531,6.03,441,48.9,56.9,15.2,27.72,1.2
240412,7A,-83.73046677,32.43791998,164,414,5.62,408,37.2,38.5,21.6,16.66,2.43
240414,8A,-83.72951002,32.43791667,128,282,5.84,345,53.2,61.4,17.63,13.1,1.38
240416,9A,-83.728561,32.437943,148,355,5.36,313,90,57.2,53.17,17.66,6.21
240418,10A,-83.727553,32.437933,233,667,6.4,544,102.6,49.6,21.01,16.37,4.17
240420,11B,-83.73621115,32.43712838,173,447,5.69,583,130.4,65.3,21.3,26.21,6.77
240422,12B,-83.73525441,32.43712511,154,377,6.27,427,55.3,41.9,12.95,20.68,0.95
240424,13B,-83.73429766,32.43712183,140,326,6.32,550,49.7,93.2,20.37,15.18,1.87
240426,14B,-83.73334092,32.43711854,207,572,6.44,407,68.3,57,16.83,18.7,0.92
240428,15B,-83.73238417,32.43711524,211,586,6.19,480,24.7,70.2,19.69,20.24,1.35
240430,16B,-83.73142742,32.43711194,143,337,6.31,456,26.8,55.8,19.77,20.78,1.32
240432,17B,-83.73047068,32.43710863,212,590,6.29,424,49.9,61.9,19.42,16.94,1.58
240434,18B,-83.72951393,32.43710532,233,667,6.27,645,69.4,86.1,28.02,29.62,2.33
240436,19B,-83.72855719,32.43710199,143,337,5.45,471,50.6,73.9,22.92,26.72,2.1
240438,20B,-83.72760044,32.43709866,128,282,6.88,283,45.7,40.3,22.92,20.92,1.7
240440,21B,-83.7266437,32.43709532,136,311,6.6,369,28.6,58.7,11.5,25.44,2.52
240442,22C,-83.73621501,32.43631703,184,487,5.9,488,104.8,91.4,38.55,8.86,1.32
240444,23C,-83.73525827,32.43631376,205,564,5.96,724,101.2,69.5,30.3,9.12,5.04
240446,24C,-83.734311,32.436519,149,359,5.33,228,78.7,56.1,12.85,3.1,0.64
240448,25C,-83.7333448,32.43630719,166,421,6.47,424,52,75.4,23.02,8.34,0.92
240450,26C,-83.73238806,32.43630389,186,495,6.18,360,19.8,48.8,15.78,13.96,1.14
240452,27C,-83.73143132,32.43630059,172,443,6.26,384,21.6,43.4,14.23,10.28,1.36
240454,28C,-83.73047458,32.43629728,165,417,6.51,593,75.7,73.8,21.03,19.58,1.88
240456,29C,-83.72951785,32.43629396,199,542,6.14,686,46.9,68.4,16.45,29.4,4.28
240458,30C,-83.72856111,32.43629064,150,362,5.59,273,24.2,21.9,13.06,29.85,3.18
240460,31C,-83.72760437,32.43628731,121,256,6.56,467,53.1,63.9,14.01,29.41,2.97
240462,32C,-83.72664764,32.43628397,204,561,6,549,30.4,99.8,15.33,38.52,2.08
240464,33C,-83.7256909,32.43628063,215,601,6.95,622,39.4,73.4,13.09,34.47,4.9
240466,34D,-83.73616,32.435572,206,568,6.35,681,34,29.4,29.22,9.42,2.17
240468,35D,-83.73526214,32.4355024,701,2033,4.79,596,101.6,104.6,46.82,11.77,5.48
240470,36D,-83.73430541,32.43549912,162,406,5.17,120,29.6,41.5,8.73,2.49,0.24
240472,37D,-83.73334868,32.43549584,145,344,6.72,450,29.8,68.3,14.8,23.16,2.01
240474,38D,-83.73239195,32.43549254,156,384,5.63,328,19.2,44.3,14.98,19.81,3.88
240476,39D,-83.73143522,32.43548924,166,421,6.2,310,39.1,39.6,11.78,8.32,1.55
240478,40D,-83.73047849,32.43548593,217,608,6.47,432,51.1,85.5,13.63,12.65,1.11
240480,41D,-83.72952176,32.43548261,223,630,5.9,543,68.5,100.8,14.45,10.32,1.78
240482,42D,-83.72856503,32.43547929,249,726,5.83,484,45.6,114.3,16.89,25.17,1.77
240484,43D,-83.72760831,32.43547596,203,557,5.81,303,33.1,40.5,14.31,14.86,1.89
240486,44D,-83.72665158,32.43547262,202,553,6.06,452,46.4,58.9,20.18,36.06,2.29
240488,45D,-83.72569485,32.43546927,178,465,6.33,737,96.5,97.7,30.83,31.28,2.34
240490,46D,-83.72473812,32.43546592,324,940,5.45,594,94.6,107.6,10.39,3.7,1.75
240492,47E,-83.73622272,32.43469433,210,583,5.8,418,93.5,41.1,22.96,14.65,1.17
240494,48E,-83.735266,32.43469105,322,934,6.19,611,129.9,67.8,29.9,24.04,2.81
240496,49E,-83.73430928,32.43468777,177,461,5.24,305,68.9,82.5,8.15,3.61,0.84
240498,50E,-83.73335256,32.43468449,200,546,5.76,381,22.2,49.4,10.66,10.23,1.72
240500,51E,-83.73239584,32.43468119,433,1256,6.06,1462,165.3,283,52.4,49.45,4.93
240502,52E,-83.73143912,32.43467789,154,377,5.92,242,26.1,39.8,11.51,16.99,0.86
240504,53E,-83.7304824,32.43467458,166,421,5.75,271,32.3,50,17.06,1.62,0.94
240506,54E,-83.72952568,32.43467126,151,366,5.93,411,29.7,116.6,8.16,16.61,1.06
240508,55E,-83.72856896,32.43466794,157,388,6.22,497,61,112.1,13.77,9.6,1.28
240510,56E,-83.72761224,32.43466461,164,414,5.85,274,29.2,39.2,10.88,16.6,1.73
240512,57E,-83.72665552,32.43466127,153,373,6.12,288,48.6,55.1,11.52,16.58,1.6
240514,58E,-83.7256988,32.43465792,228,649,6.4,618,61.7,92,33.09,18.68,1.91
240516,59E,-83.72474208,32.43465457,206,568,5.2,259,81.3,33.1,18.76,13.75,3.18
240518,60E,-83.72378536,32.43465121,208,575,6.2,520,76.2,89.8,25.74,16.4,2.27
240520,61F,-83.73622658,32.43388297,214,597,5.91,512,79.1,68.8,27.36,16.68,1.8
240522,62F,-83.73526986,32.4338797,175,454,5.91,378,43.3,35.8,21.31,11.47,1.45
240524,63F,-83.73431315,32.43387642,199,542,5.5,293,56.1,35.8,24.94,9.59,1.95
240526,64F,-83.73335644,32.43387313,161,403,6.02,433,45.2,52.7,19.18,10.55,1.56
240528,65F,-83.73239973,32.43386984,160,399,6.27,469,44.9,75.1,14.78,23.67,1.71
240530,66F,-83.73144302,32.43386654,211,586,6.7,720,95.2,102.7,17.66,20.76,2.75
240532,67F,-83.7304863,32.43386323,168,428,6.69,443,33.7,57.3,14.99,14.65,1.79
240534,68F,-83.72952959,32.43385991,133,300,6.38,431,43.2,34.9,15.95,17.12,2.43
240536,69F,-83.72857288,32.43385659,153,373,5.99,360,29.9,45.5,15.47,11.33,2.11
240538,70F,-83.72761617,32.43385326,171,439,6.16,275,36,58,10.62,6.21,1.16
240540,71F,-83.72665946,32.43384992,218,612,5.09,267,115.1,88.2,13.82,8.17,1.45
240542,72F,-83.72570275,32.43384657,186,495,5.48,349,43.6,33.4,14.19,17.88,2.63
240544,73F,-83.72474604,32.43384322,199,542,5.59,262,78.5,54.9,13.28,4.22,0.47
240546,74F,-83.72378933,32.43383986,217,608,5.24,251,56,26.2,23.11,17.42,2.32
240548,75F,-83.72283262,32.43383649,112,223,5.48,131,10.8,14,7.03,5.1,1.01
240550,76G,-83.73623043,32.43307162,200,546,5.97,405,36.9,28.9,20.6,11.1,1.43
240552,77G,-83.73527373,32.43306835,207,572,6.1,407,60.4,45.2,23.69,11.03,2.03
240554,78G,-83.73431702,32.43306507,207,572,6.28,407,57.4,43.9,20.5,8.61,0.4
240556,79G,-83.73336032,32.43306178,167,425,5.62,292,29.8,38.4,18.72,7.45,2.89
240558,80G,-83.73240362,32.43305849,156,384,5.78,302,29.6,34.5,16.39,10.33,2.21
240560,81G,-83.73144691,32.43305519,148,355,6.55,325,32.4,61.8,10.63,3.9,1.01
240562,82G,-83.73049021,32.43305188,134,304,6.29,232,44.8,43.2,11.82,17.29,1.24
240564,83G,-83.72953351,32.43304856,139,322,6.56,320,27.6,40.5,11.42,15.35,1.49
240566,84G,-83.7285768,32.43304524,133,300,6.27,250,25,43.5,11.07,11.32,2.08
240568,85G,-83.7276201,32.43304191,240,693,5.93,525,245,52.5,26.36,17.6,3.35
240570,86G,-83.7266634,32.43303857,180,473,5.59,324,25.2,36.2,15.58,9.79,2.74
240572,87G,-83.7257067,32.43303522,150,362,5.64,178,57.5,23.6,10.07,3.3,0.76
240574,88G,-83.72475,32.43303187,169,432,6.14,338,53.7,46.1,12.95,4.94,2.03
240576,89G,-83.72379329,32.43302851,195,528,5.79,354,42.4,63.1,18.6,10.87,2.13
240578,90G,-83.72283659,32.43302514,134,304,6.55,396,30.4,87.8,8.45,18.89,1.56
240580,91G,-83.72187989,32.43302177,146,348,6.2,294,114.8,36,9.86,11.72,2.37
240595,92G,-83.730062,32.432788,375,1088,5.56,644,126.7,57.6,38.23,45.54,4.6
240597,93H,-83.73623428,32.43226027,295,856,6.12,592,139.3,82.6,31.51,55.32,2.51
240599,94H,-83.73527759,32.432257,203,557,5.9,486,56.2,54.9,18.66,13.1,2.53
240601,95H,-83.73432089,32.43225372,189,506,5.78,360,54.1,47.5,20.1,15.44,5.3
240603,96H,-83.7333642,32.43225043,184,487,5.52,238,43,32.8,19.28,8.26,1.53
240605,97H,-83.73240751,32.43224713,196,531,6.41,327,149.2,44,20.6,15.66,2.25
240607,98H,-83.73145081,32.43224383,191,513,6.41,402,93.7,46.4,21.71,15.29,2.05
240609,99H,-83.73049412,32.43224052,230,656,6.54,625,70.9,112,25.24,23.46,2.33
240611,100H,-83.72953742,32.43223721,171,439,7.14,551,86,94.9,21.98,16.2,3.02
240613,101H,-83.72858073,32.43223388,225,638,6.47,551,88.4,89.4,22.21,35.1,2.78
240615,102H,-83.72762403,32.43223055,161,403,6.36,285,58.6,56.1,12.61,19.63,1.39
